1277,Kern,Albuin,,1809,NULL,NULL,,NULL,bauer,Sterzing__Tschöfs,Sterzing__Sterzing,erschossen
1278,Rainer,Stephan,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Jaufenthal,Sterzing__Sterzing,erschossen
1279,Kuen,Peter,,1809,4,12,,NULL,arbeiter,Sterzing__Gasteig,Sterzing__Sterzing,erschossen
1280,Radl,Jakob,,1809,4,12,,NULL,arbeiter,Sterzing__Ried,Sterzing__Sterzing,erschossen
1281,Gasser,Matthias,,1809,4,11,,NULL,arbeiter,Sterzing__Trens,Mieders__Trens,erschossen
1282,Weger,Johann,,1809,4,11,,NULL,handwerker,Sterzing__Telfs,Sterzing__Sterzing,wunde
1283,Inderst,Thomas,,1809,4,11,,NULL,bauer,Sterzing__Riednaun,Mieders__Trens,erschossen
1284,Wurzer,Johann,,1809,NULL,NULL,,NULL,handwerker,Sterzing__Mareith,Meran__Passeier,erschossen
1285,Kofler,Johann,,1809,NULL,NULL,,NULL,handwerker,Sterzing__Mareith,Meran__Passeier,erschossen
1286,Bodner,Bartlme,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Ratschings,Meran__Passeier,erschossen
1287,Heiseler,N.,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Ratschings,Meran__Passeier,erschossen
1288,Eisendle,Johann,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Tschöfs,Meran__Passeier,erschossen
1289,Firler,Anton,,1809,8,7,,NULL,arbeiter,Sterzing__Mauls,Meran__Passeier,erschossen
1290,Überegger,Georg,45,1809,4,12,,NULL,bauer,Sterzing__Mauls,Meran__Passeier,erschossen
1291,Krautgartner,Matthias,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Mauls,Rattenberg__Oberau,erschossen
1292,Wieser,Josef,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Egg,unknown__Sachsenburg,erschossen
1293,Walter,Josef,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Ried,unknown__Pustertal,erschossen
1294,Markhart,Josef,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Pflersch,Innsbruck__Berg Isel,erschossen
1295,Saxel,Josef,,1809,NULL,NULL,,NULL,arbeiter,Sterzing__Pfulters,Innsbruck__Berg Isel,erschossen
1296,Bircher,Bartlme,19,1809,6,28,,NULL,bauer,Sterzing__Trens,Innsbruck__Berg Isel,wunde
1297,Laner,Franz,,1809,5,29,,NULL,handwerker,Sterzing__Mauls,Innsbruck__Berg Isel,erschossen
1298,Trattner,Franz,,1809,NULL,NULL,,NULL,handwerker,Sterzing__Mauls,Innsbruck__Berg Isel,erschossen
1299,Lechner,Josef,26,1809,11,7,,NULL,handwerker,Sterzing__Riednaun,Innsbruck__Berg Isel,erschossen
1300,Trenkwaldner,Josef,30,1809,5,25,,NULL,handwerker,Sterzing__Riednaun,Innsbruck__Berg Isel,erschossen
1304,Blasbichler,Joh.,,1809,12,6,,NULL,bauer,Brixen__Albeins,Brixen__Albeins,erschossen
1305,Kircher,Johann,,1809,12,23,,NULL,bauer,Brixen__St. Leonhard,Hofpgarten__Brixen,exekution
1306,Haller,Johann,,1809,12,23,,NULL,arbeiter,Brixen__Neustift,Hofpgarten__Brixen,exekution
1307,Reichegger,Peter,,1809,8,10,,NULL,bauer,Brixen__Elvas,unknown__Tils,erschossen
1308,Mayr,Peter,,1810,2,20,,NULL,wirt,Brixen__in der Mahr,Bozen__Bozen,exekution
1309,Gargitter,Georg,,1809,7,30,,NULL,handwerker,Brixen__Lüsen,unknown__Unterau,erschossen
1310,Pichler,Bartlmä,,1809,12,23,,NULL,bauer,Brixen__Milland,Hofpgarten__Brixen,exekution
